Model Name,Category,Name,Price/Details,Image URL
XLE,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/993/7e8adde979a4a213f6d64252f86732e6a9435548440e6ff6a7215bee58b3815d.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Hydro Blue *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/547/602c2bdb735a6eb3dcf84e8a532ee4e0a9b3d7bc08c09fcf267e9b5a213baec1.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Elemental Silver Metallic *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/516/e8531334c62ae4f007559cfbc8300c472ebe13d4d9345268be0aaf195e9b6fe0.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Oxygen White *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/469/9273cc45e825f0546cdf03be3b49a33cfbb5d4fa2a6f26d6b2b17149d3e40e96.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Heavy Metal *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/695/741ae167f2e92e639ddd3eda75bf836cf1cd6dea37c61815678eaa193bc4eaf8.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
XLE,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3002/340/510c4fbc4b2a34cbedbed15733ec6290b0e1f5b3585e4b0287e4c9159306bbd5.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Supersonic Red *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/153/73383009c866ed280be914a69fc4f548ef8a427eeb21391c0d54a5d842b79766.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Hydro Blue *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/706/b5da129abc69786d05e8a2921cd1228ec506419f6dd3af5d35279baf38e3520b.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Elemental Silver Metallic *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/116/04fe98c4e6e0a8bbd0e1ab87a07f57c0d6860f7fe43dc24512099b1f7934b436.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Oxygen White *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/735/392ff6ff81421de10aa4224b20bd62bc944a7611ffbceacd51fdb36d9f44d091.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Heavy Metal *,$425,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/205/70d136a5ce864d8ebbcc18192c1bd821a3fd5218796b02d320a9f23d5fe47de4.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
Limited,Exterior,Black,Included,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2024/mirai/3003/360/5b6cb2f8951ba89f4cdb62b99acb0eaac6f7e38dc28ed620970d5eac92e58b7f.png?wid=1600&fmt=webp-alpha&cropN=0.04,0.08,0.92,.84"
