Model Name,MSRP,Build URL,Image URL,MPG
LE,"$39,520",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6946/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6946/176/9f31a260b59e481cfd6c9a7013541b1d981f4f65c6713990c0e59f97ff00d794.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/29
XLE,"$42,670",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6951/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6951/376/bcecc4602c8bcfd84bbc43d5d824c3a4fd519fce0e867d36f9b61a57de3d124d.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/29
Hybrid XLE,"$46,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6965/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6965/861/b38fd12d9042d3c983227d6ef9362eb8ac91667aa93aca4208c785bba7dc8fc2.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35
XSE,"$46,340",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6959/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6959/492/d7121904f5116bb4a03f423b0200f080a268da8333e212abd4bb3a7cb3f83ade.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28
Limited,"$46,775",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6954/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6954/78/7f96eb56eda4c8dd257927d3430c2620931316bb595c6bcb324ddc41b52ac03b.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",22/29
Hybrid XLE Nightshade,"$47,020",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6989/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6989/176/02cd41e00d84b6d1b16231019b278fd393d3fe46ae366bf849226f1d35578b80.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/35
Hybrid Limited,"$50,475",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6966/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6966/388/f27cba24fc3a1f534b38ae62a0f1ea4bdf42424fdf5ba66ea48e34e882aa626f.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
Platinum,"$51,925",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6957/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6957/35/913cd51b26a40d9d0225550fdebe51c866afd9b574428b29117a97b53f5723b4.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",21/28
Hybrid Limited 25th Edition,"$52,680",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6982/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6982/537/d4006491a52bc2fe846c28ccf51d67bce9662b364c144f7e1d84ca713eff9c39.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
Hybrid Platinum,"$53,675",https://www.toyota.com/configurator/build/step/model/year/2025/series/highlander/model/6967/?bap_guid=9400a654-46c1-4619-9ae5-761e8072e76e,"https://tmnaassetscs.scene7.com/is/image/tmnaassetscs/vcr/live/vehicle/TOY/2025/highlander/6967/712/93f168a07203c4fb911daaf88d521d9a1115ce3899c75346675c0003b55146c4.png?wid=750&fmt=webp-alpha&cropN=0.1,0.16,0.78,0.8",35/34
